x1,y1,x2,y2,x3,y3,x4,y4,oob_distance
10.0,10.0,10.0,108.0,48.0,193.0,270.0,122.0,0.7526181727427774
10.0,10.0,12.0,48.0,286.0,197.0,277.0,234.0,0.5045762178270923
10.0,10.0,12.0,48.0,286.0,197.0,277.0,234.0,0.5039684869643242
10.0,10.0,12.0,48.0,286.0,197.0,277.0,234.0,0.5038911152123513
10.0,10.0,12.0,48.0,286.0,197.0,277.0,234.0,0.5041545858519036
10.0,10.0,12.0,48.0,286.0,197.0,277.0,234.0,0.5018903587048369
10.0,10.0,12.0,48.0,286.0,197.0,277.0,234.0,0.504269095226672
10.0,10.0,12.0,48.0,286.0,197.0,277.0,234.0,0.5026175128183954
10.0,10.0,12.0,48.0,286.0,197.0,277.0,234.0,0.5016919566387095
10.0,10.0,12.0,48.0,286.0,197.0,277.0,234.0,0.5059690850256633
10.0,10.0,12.0,48.0,286.0,197.0,277.0,234.0,0.5039250369174855
10.0,10.0,12.0,206.0,10.0,255.0,199.0,128.0,-0.507266909441368
10.0,10.0,12.0,206.0,10.0,255.0,199.0,128.0,-0.5048959676837335
10.0,10.0,12.0,206.0,10.0,255.0,199.0,128.0,-0.5076131736678833
10.0,10.0,12.0,206.0,10.0,255.0,199.0,128.0,-0.5069069557457389
10.0,10.0,12.0,206.0,10.0,255.0,199.0,128.0,-0.5072264671296782
10.0,10.0,12.0,206.0,10.0,255.0,199.0,128.0,-0.5085102925753038
10.0,10.0,12.0,206.0,10.0,255.0,199.0,128.0,-0.5070905414669507
10.0,10.0,12.0,206.0,10.0,255.0,199.0,128.0,-0.5066859370359418
10.0,10.0,12.0,206.0,10.0,255.0,199.0,128.0,-0.5065017015366124
10.0,10.0,12.0,206.0,10.0,255.0,199.0,128.0,-0.5084826465021961
10.0,10.0,13.0,31.0,213.0,118.0,123.0,247.0,0.5400341248437841
10.0,10.0,13.0,31.0,213.0,118.0,123.0,247.0,0.5394641674449774
10.0,10.0,13.0,31.0,213.0,118.0,123.0,247.0,0.5416025703060767
10.0,10.0,13.0,31.0,213.0,118.0,123.0,247.0,0.5378187412801334
10.0,10.0,13.0,31.0,213.0,118.0,123.0,247.0,0.5404730027718703
10.0,10.0,13.0,31.0,213.0,118.0,123.0,247.0,0.5483456152720794
10.0,10.0,13.0,31.0,213.0,118.0,123.0,247.0,0.5404001915054026
10.0,10.0,13.0,31.0,213.0,118.0,123.0,247.0,0.5395660110493463
10.0,10.0,13.0,31.0,213.0,118.0,123.0,247.0,0.5461326739107479
10.0,10.0,13.0,31.0,213.0,118.0,123.0,247.0,0.5390947951083522
10.0,10.0,13.0,88.0,125.0,243.0,142.0,197.0,-0.982031015232542
10.0,10.0,13.0,88.0,125.0,243.0,142.0,197.0,-0.9819940120114912
10.0,10.0,13.0,88.0,125.0,243.0,142.0,197.0,-0.9807164274517435
10.0,10.0,13.0,88.0,125.0,243.0,142.0,197.0,-0.9843767058890314
10.0,10.0,13.0,88.0,125.0,243.0,142.0,197.0,-0.9812991720589044
10.0,10.0,13.0,88.0,125.0,243.0,142.0,197.0,-0.9822141584664212
10.0,10.0,13.0,88.0,125.0,243.0,142.0,197.0,-0.981565381570972
10.0,10.0,13.0,88.0,125.0,243.0,142.0,197.0,-0.987706051820211
10.0,10.0,13.0,88.0,125.0,243.0,142.0,197.0,-0.9829268593653131
10.0,10.0,13.0,88.0,125.0,243.0,142.0,197.0,-0.9818667636502574
10.0,10.0,13.0,94.0,186.0,233.0,284.0,47.0,0.7193693768776657
10.0,10.0,13.0,94.0,186.0,233.0,284.0,47.0,0.7199096993229916
10.0,10.0,13.0,94.0,186.0,233.0,284.0,47.0,0.728882562657658
10.0,10.0,13.0,94.0,186.0,233.0,284.0,47.0,0.7283390888214971
10.0,10.0,13.0,94.0,186.0,233.0,284.0,47.0,0.7285925832780917
10.0,10.0,13.0,94.0,186.0,233.0,284.0,47.0,0.7297359425854089
10.0,10.0,13.0,94.0,186.0,233.0,284.0,47.0,0.72843826093308
10.0,10.0,13.0,94.0,186.0,233.0,284.0,47.0,0.7183756942028114
10.0,10.0,13.0,94.0,186.0,233.0,284.0,47.0,0.7183610996979359
10.0,10.0,13.0,94.0,186.0,233.0,284.0,47.0,0.7198747633886382
10.0,10.0,13.0,122.0,20.0,142.0,140.0,194.0,0.6444266522575661
10.0,10.0,13.0,122.0,20.0,142.0,140.0,194.0,0.6477239813233064
10.0,10.0,13.0,122.0,20.0,142.0,140.0,194.0,0.6473197066263512
10.0,10.0,13.0,122.0,20.0,142.0,140.0,194.0,0.6460578523677147
10.0,10.0,13.0,122.0,20.0,142.0,140.0,194.0,0.6470923718662902
10.0,10.0,13.0,122.0,20.0,142.0,140.0,194.0,0.647625195122379
10.0,10.0,13.0,122.0,20.0,142.0,140.0,194.0,0.6463637887690084
10.0,10.0,13.0,122.0,20.0,142.0,140.0,194.0,0.646575627456226
10.0,10.0,13.0,122.0,20.0,142.0,140.0,194.0,0.6479795943085029
10.0,10.0,13.0,122.0,20.0,142.0,140.0,194.0,0.6468791768706874
10.0,10.0,13.0,126.0,34.0,179.0,194.0,289.0,0.8879674657775123
10.0,10.0,13.0,126.0,34.0,179.0,194.0,289.0,0.9094652892780792
