Target Index,TimeOfDay,Ego Speed,TrafficAmount,Keep Lane,Weather,Ultrasound,Damage,Distance,Lidar
0.0,0.34,41.0,5.0,0.0,6.0,4.3511247634887695,9112.33544921875,793.2866407211785,109.34304
0.0,0.34,41.0,5.0,0.0,6.0,9999.900390625,2368.2452697753906,475.68716169825024,53.517357
0.0,0.34,41.0,5.0,0.0,6.0,9999.900390625,15637.63671875,540.8395038621188,100.10563
0.0,0.34,41.0,5.0,0.0,6.0,9999.900390625,2276.880126953125,474.7619033241758,53.674812
0.0,0.34,41.0,5.0,0.0,6.0,9999.900390625,8580.5029296875,792.3418486519612,109.17676
0.0,0.34,41.0,5.0,0.0,6.0,9999.900390625,6143.7725830078125,697.3650128657606,109.36178
0.0,0.34,41.0,5.0,0.0,6.0,3.0132880210876465,19838.5625,532.2615506145132,97.58561
0.0,0.34,41.0,5.0,0.0,6.0,9999.900390625,2101.8570556640625,701.33844214184,109.23521
0.0,0.34,41.0,5.0,0.0,6.0,4.249081134796143,19206.24609375,673.4295334222871,109.31931
0.0,0.34,41.0,5.0,0.0,6.0,9999.900390625,2329.2247924804688,474.84944291611987,53.574165
0.0,0.43,41.0,0.0,1.0,6.0,9999.900390625,2173.7410430908203,496.06839799753527,55.187767
0.0,0.43,41.0,0.0,1.0,6.0,9999.900390625,2176.6968994140625,497.05319755141625,56.286476
0.0,0.43,41.0,0.0,1.0,6.0,9999.900390625,2178.3666381835938,497.99492323341906,56.152336
0.0,0.43,41.0,0.0,1.0,6.0,9999.900390625,1107.9857330322266,496.94747241412637,55.490944
0.0,0.43,41.0,0.0,1.0,6.0,9999.900390625,2178.506820678711,498.0903501350311,57.104492
0.0,0.43,41.0,0.0,1.0,6.0,9999.900390625,2175.714569091797,497.1249623951429,56.50792
0.0,0.43,41.0,0.0,1.0,6.0,9999.900390625,2179.0853576660156,496.33752502819306,54.825966
0.0,0.43,41.0,0.0,1.0,6.0,9999.900390625,1105.5116577148438,497.0776908475922,56.145386
0.0,0.43,41.0,0.0,1.0,6.0,9999.900390625,2175.9855194091797,496.414815080588,55.31028
0.0,0.43,41.0,0.0,1.0,6.0,9999.900390625,2174.7008666992188,495.23108666475235,53.843117
0.0,0.44,26.0,10.0,1.0,5.0,9999.900390625,16121.205078125,572.4942408730165,104.56559
0.0,0.44,26.0,10.0,1.0,5.0,9999.900390625,18234.68359375,535.6820403492054,98.08256
0.0,0.44,26.0,10.0,1.0,5.0,2.970646619796753,33032.40625,579.388060408735,104.60944
0.0,0.44,26.0,10.0,1.0,5.0,2.750880479812622,20513.4716796875,589.8831321407968,104.04364
