Weather1,Weather2,Weather3,Ego,NonEgo,Front,Back,Opposite,F1,F2,F3,F4
1,45,54,1,37,1,3,1,0.025168108,-62.90456696,-2,0
1,45,54,1,37,1,3,1,0.019133112,-62.14189453,0,0
1,45,54,1,37,1,3,1,0.071796044,-63.2760498,0,0
1,45,54,1,37,1,3,1,-0.089880985,-63.82828827,0,0
1,45,54,1,37,1,3,1,0.025168108,-62.90456696,-2,0
1,47,4,24,28,0,3,2,0.151993731,-57.09094543,-530,0
1,47,4,24,28,0,3,2,-0.360060132,-56.82293243,-1,-2
1,47,4,24,28,0,3,2,0.28902512,-56.88179321,0,0
1,47,4,24,28,0,3,2,0.289025016,-57.43700714,0,0
1,47,4,24,28,0,3,2,-0.453688352,-57.7032959,0,-2
1,47,4,24,28,0,3,2,-0.051865557,-57.95457001,-23,0
1,47,4,24,28,0,3,2,0.28902512,-57.76173706,0,0
1,47,4,24,28,0,3,2,0.289025068,-58.78074188,0,0
1,47,4,24,28,0,3,2,-0.200838711,-58.03055115,0,-3
1,47,4,24,28,0,3,2,0.289025327,-57.08593292,0,0
1,48,70,26,22,4,3,0,0.289036004,-82.36906738,0,0
1,48,70,26,22,4,3,0,0.289036212,-81.98829956,0,0
1,48,70,26,22,4,3,0,0.289035745,-82.35637207,0,0
1,48,70,26,22,4,3,0,0.289036212,-82.2642395,0,0
1,48,70,26,22,4,3,0,0.289035849,-81.58126373,0,0
1,48,70,26,22,4,3,0,0.289036004,-82.51214142,0,0
1,48,70,26,22,4,3,0,0.289035901,-81.81088562,0,0
1,48,70,26,22,4,3,0,0.289035849,-73.52266235,0,0
1,48,70,26,22,4,3,0,0.289035849,-75.45691986,0,0
1,48,70,26,22,4,3,0,0.289035849,-81.14728088,0,0
1,53,93,17,24,1,2,1,0.289038337,-66.17223663,0,0
1,53,93,17,24,1,2,1,0.289039425,-65.75341339,0,0
1,53,93,17,24,1,2,1,0.289039114,-61.63391418,0,0
