TargetIndex,TimeOfDay,EgoSpeed,TrafficAmount,KeepLane,Weather,F0_0,F1_0,F2_0,F3_0,Y0,Y1,Y2,Y3,Y
5.0,0.78,38.0,7.0,0.0,3.0,9999.900390625,-2258.119415283203,-999.4957434745656,51.9461,1,1,1,1,1
5.0,0.82,24.0,7.0,0.0,6.0,9999.900390625,-1.980568766593933,-1004.9989564759006,53.140224,0,0,1,1,1
5.0,0.82,38.0,3.0,0.0,5.0,9999.900390625,-14895.4306640625,-1033.9617205833338,96.78521,1,1,1,1,1
5.0,0.85,21.0,4.0,1.0,0.0,9999.900390625,-3794.922607421875,-1137.6439065404422,109.567375,1,0,1,0,1
5.0,0.93,20.0,2.0,1.0,2.0,9999.900390625,-12710.33251953125,-1118.995533679648,109.23472,1,0,1,1,1
5.0,0.96,22.0,4.0,0.0,5.0,9999.900390625,-1372.905029296875,-1009.5483034219224,62.138348,1,0,1,1,1
6.0,0.1,31.0,0.0,0.0,2.0,9999.900390625,-2233.5034790039062,-458.3956425486697,53.55261,0,0,0,0,0
6.0,0.11,30.0,10.0,0.0,0.0,9999.900390625,-9085.396484375,-873.2070101247482,107.13332,1,1,1,1,1
6.0,0.11,47.0,0.0,1.0,0.0,9999.900390625,-2180.191162109375,-472.27180411925167,59.389618,0,0,0,0,0
6.0,0.13,27.0,9.0,0.0,5.0,2.093336582183838,-32914.37890625,-579.2388783244592,104.13674,1,1,1,1,1
6.0,0.16,25.0,4.0,1.0,3.0,9999.900390625,-13900.84765625,-569.151311638854,104.49155,1,0,1,1,1
6.0,0.16,45.0,5.0,0.0,6.0,9999.900390625,-14236.0009765625,-521.5415995377889,100.10769,1,1,1,1,1
6.0,0.2,20.0,8.0,1.0,5.0,3.805790662765503,-12266.454345703123,-643.2583102334431,109.53016,1,0,1,0,1
6.0,0.23,40.0,9.0,0.0,2.0,9999.900390625,-22222.1982421875,-565.4533733451169,104.42242,1,0,1,1,1
6.0,0.25,49.0,6.0,1.0,5.0,9999.900390625,-17275.0390625,-625.4180941020935,109.28457,1,0,1,1,1
6.0,0.34,21.0,3.0,1.0,2.0,9999.900390625,-13003.84423828125,-550.2294890837552,102.85774,1,0,1,0,1
6.0,0.38,36.0,6.0,0.0,6.0,9999.900390625,-15895.1767578125,-648.4847623732422,109.260124,1,0,1,1,1
6.0,0.51,23.0,9.0,1.0,3.0,4.204904079437256,-17978.57421875,-548.8216313268404,103.47476,1,1,1,1,1
6.0,0.52,33.0,5.0,0.0,5.0,9999.900390625,-20036.1123046875,-514.2105429475189,96.984245,1,1,1,1,1
6.0,0.52,37.0,1.0,0.0,4.0,9999.900390625,-1227.568862915039,-456.2118925669302,53.616077,0,0,0,0,0
6.0,0.52,46.0,0.0,0.0,4.0,9999.900390625,-1167.169464111328,-454.77597968699627,55.177353,0,0,0,0,0
6.0,0.54,27.0,5.0,0.0,4.0,9999.900390625,-97.96467590332033,-458.23742199915495,54.222588,0,1,1,1,1
6.0,0.7,35.0,9.0,1.0,5.0,4.797045707702637,-30939.34375,-557.709527051735,104.765305,1,0,1,1,1
6.0,0.84,37.0,10.0,0.0,1.0,9999.900390625,-17594.2646484375,-517.3320807058208,100.1126,1,1,1,1,1
6.0,0.87,35.0,2.0,0.0,3.0,9999.900390625,-5322.366180419922,-456.1608874037227,53.14487,0,0,0,1,1
7.0,0.17,35.0,2.0,0.0,3.0,9999.900390625,-2970.834289550781,-489.70344804514417,53.576183,1,1,1,1,1
7.0,0.19,39.0,0.0,1.0,0.0,9999.900390625,-2175.818817138672,-502.2522211843543,55.002495,0,0,0,0,0
7.0,0.3,31.0,4.0,0.0,2.0,9999.900390625,-1234.8033294677734,-483.7126932473706,54.252357,0,1,1,1,1
7.0,0.3,43.0,7.0,1.0,4.0,9999.900390625,-18685.298828125,-661.1026295246648,109.20589,1,1,1,0,1
7.0,0.3,46.0,4.0,1.0,3.0,9999.900390625,-15634.59423828125,-635.0940519795399,108.85122,1,1,1,0,1
7.0,0.31,27.0,4.0,0.0,3.0,9999.900390625,-24.816694259643555,-483.8949466758615,54.038216,1,0,1,1,1
7.0,0.54,43.0,7.0,1.0,6.0,3.0595128536224365,-17726.767578125,-587.4391045898918,104.6343,1,1,1,1,1
7.0,0.63,35.0,7.0,1.0,5.0,2.621843814849853,-82585.3046875,-569.5536686548528,102.31855,1,1,1,0,1
7.0,0.65,21.0,0.0,0.0,3.0,9999.900390625,-0.0334730446338653,-508.6983761518192,60.884483,0,0,0,0,0
7.0,0.69,45.0,7.0,1.0,4.0,2.603900194168091,-19842.3291015625,-679.3065150356197,108.8319,1,1,1,1,1
