Weather1,Weather2,Weather3,Ego,NonEgo,Front,Back,Opposite,F0_0,F1_0,F2_0,F3_0,Y0,Y1,Y2,Y3,Y
10.0,91.0,96.0,21.0,14.0,0.0,2.0,0.0,0.2890312360680621,-60.71969909667969,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,24.0,72.0,5.0,25.0,0.0,0.0,2.0,0.2890355379685111,-61.67624206542969,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,26.0,16.0,27.0,18.0,0.0,2.0,1.0,0.2890253274337104,-68.64102478027344,0.0,0.0,0.0,1.0,0.0,0.0,1
11.0,32.0,74.0,32.0,13.0,0.0,2.0,2.0,0.2890380258145539,-65.28069610595703,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,34.0,70.0,30.0,29.0,3.0,0.0,2.0,0.2890216474947721,-76.95978088378907,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,38.0,99.0,22.0,18.0,4.0,1.0,3.0,0.2890354343082593,-64.52430267333985,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,56.0,62.0,1.0,1.0,3.0,2.0,1.0,0.2890348641768745,-64.53244323730469,0.0,0.0,0.0,0.0,0.0,0.0,0
11.0,94.0,82.0,27.0,2.0,1.0,3.0,0.0,0.2890260530554729,-64.705859375,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,21.0,57.0,38.0,8.0,1.0,0.0,0.0,-0.1446205429408862,7.03755431175232,-1656.0,-5.0,0.0,1.0,1.0,0.0,1
12.0,30.0,76.0,32.0,13.0,0.0,2.0,2.0,0.2890381294748056,-65.08550567626953,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,32.0,40.0,3.0,16.0,0.0,1.0,2.0,0.2890455411828082,-63.28625030517578,0.0,0.0,1.0,1.0,0.0,1.0,1
12.0,34.0,70.0,30.0,29.0,3.0,0.0,2.0,0.2890214920043945,-77.36351318359375,0.0,0.0,0.0,0.0,0.0,0.0,0
