RoadType,RoadID,ScenarioLength,VehicleFront,VehicleAdjacent,VehicleOpposite,VehicleFrontTwoWheeled,VehicleAdjacentTwoWheeled,VehicleOppositeTwoWheeled,TimeOfDay,Weather,NumberOfPeople,TargetSpeed,Trees,Buildings,Task,Delta_F0,Delta_F1,Delta_F2,Delta_F3,Y0,Y1,Y2,Y3,Y
0,0,0,0,1,1,1,1,1,2,5,0,4,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,6,1,2,1,1,0,0.00043478260869567187,0.0,0.0,0.021798365122615793,1,0,0,1,1
0,0,0,1,0,0,0,0,0,0,6,1,2,1,1,0,0.038956521739130334,0.0,0.0,0.039120280264694385,1,0,0,1,1
0,0,0,1,0,0,0,0,0,0,6,1,2,1,1,0,0.038956521739130334,0.0,0.0,0.06558972362787074,1,0,0,1,1
0,0,0,1,0,0,0,0,0,0,6,1,2,1,1,0,0.06556521739130428,0.0,0.0,0.06558972362787074,1,0,0,1,1
0,0,0,1,0,0,0,0,0,0,6,1,2,1,1,0,0.06556521739130428,0.0,0.0,0.36570650058388476,1,0,0,1,1
0,0,0,1,0,0,0,0,0,0,6,1,2,1,1,0,0.06608695652173913,0.0,0.0,0.36570650058388476,1,0,0,1,1
0,0,0,1,0,0,0,0,1,1,6,1,3,1,1,0,0.0035652173913044427,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,1,6,1,3,1,1,0,0.01939130434782621,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,1,6,1,3,1,1,0,0.029217391304347973,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,0,1,1,1,1,1,4,1,1,0,0.007304347826087021,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,0,1,1,1,1,1,4,1,1,0,0.008434782608695679,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,0,1,1,1,1,1,4,1,1,0,0.012347826086956393,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,0,1,1,1,1,1,4,1,1,0,0.018695652173913002,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,0,1,1,1,1,1,4,1,1,0,0.01886956521739136,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,0,1,1,1,6,1,4,1,1,0,0.0010434782608695903,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,0,1,1,1,6,1,4,1,1,0,0.0017391304347825765,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,0,1,1,1,6,1,4,1,1,0,0.012782608695652176,0.0,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,4,1,4,1,1,0,0.021652173913043526,0.0,0.0,0.32288828337874653,0,0,0,1,1
0,0,0,1,0,0,1,0,0,0,4,1,4,1,1,0,0.025739130434782598,0.0,0.0,0.32288828337874653,0,0,0,1,1
0,0,0,1,0,0,1,0,0,0,4,1,4,1,1,0,0.032086956521739096,0.0,0.0,0.32288828337874653,0,0,0,1,1
0,0,0,1,0,0,1,0,0,0,4,1,4,1,1,0,0.037304347826086826,0.0,0.0,0.32288828337874653,0,0,0,1,1
0,0,0,1,0,0,1,0,0,0,4,1,4,1,1,0,0.039478260869565185,0.0,0.0,0.32327753989879326,0,0,0,1,1
0,0,0,1,0,0,1,0,0,0,4,1,4,1,1,0,0.04330434782608705,0.0,0.0,0.3265862203191904,0,0,0,1,1
0,0,0,1,0,0,1,0,0,0,4,1,4,1,1,0,0.043739130434782836,0.0,0.0,0.34449202024133896,0,0,0,1,1
0,0,0,1,0,0,1,0,0,0,4,1,4,1,1,0,0.04400000000000004,0.0,0.0,0.34449202024133896,0,0,0,1,1
0,0,0,1,0,0,1,0,1,2,5,0,4,1,1,0,0.0040000000000000036,0.03,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,1,0,1,2,5,0,4,1,1,0,0.0040000000000000036,0.08,0.0,0.0,0,0,0,0,0
0,0,0,1,0,0,1,0,1,2,5,0,4,1,1,0,0.005304347826087019,0.09,0.0,0.0,0,0,0,0,0
