Weather1,Weather2,Weather3,Ego,NonEgo,Front,Back,Opposite,Delta_F0,Delta_F1,Delta_F2,Delta_F3,Y0,Y1,Y2,Y3,Y
1.0,55.0,94.0,5.0,20.0,2.0,1.0,2.0,1.5549037768458618e-07,1.06060791015625,0.0,0.0,0,0,0,0,0
1.0,55.0,94.0,5.0,20.0,2.0,1.0,2.0,1.5549037768458618e-07,1.2098388671875,0.0,0.0,0,0,0,0,0
1.0,55.0,94.0,5.0,20.0,2.0,1.0,2.0,2.0732050359795196e-07,1.2558059692382812,0.0,0.0,0,0,0,0,0
1.0,55.0,94.0,5.0,20.0,2.0,1.0,2.0,2.0732050359795196e-07,1.4778594970703125,0.0,0.0,0,0,0,0,0
1.0,81.0,7.0,8.0,9.0,0.0,3.0,3.0,5.701313848804901e-07,0.7825927734375,0.0,0.0,0,1,0,0,1
1.0,81.0,7.0,8.0,9.0,0.0,3.0,3.0,0.007822928221329462,69.7570288181305,0.0,0.0,0,1,0,0,1
1.0,81.0,7.0,8.0,9.0,0.0,3.0,3.0,0.007822980051455375,69.7570288181305,0.0,0.0,0,1,0,0,1
1.0,81.0,7.0,8.0,9.0,0.0,3.0,3.0,0.007822980051455375,70.02821564674377,0.0,0.0,0,1,0,0,1
2.0,12.0,52.0,14.0,29.0,1.0,2.0,1.0,0.0,0.03699493408203125,0.0,0.0,0,1,0,0,1
2.0,12.0,52.0,14.0,29.0,1.0,2.0,1.0,1.036602518822427e-07,0.317657470703125,0.0,0.0,0,1,0,0,1
2.0,12.0,52.0,14.0,29.0,1.0,2.0,1.0,2.0732050359795196e-07,0.317657470703125,0.0,0.0,0,1,0,0,1
2.0,12.0,52.0,14.0,29.0,1.0,2.0,1.0,2.0732050359795196e-07,70.76468873023987,0.0,0.0,0,1,0,0,1
2.0,12.0,52.0,14.0,29.0,1.0,2.0,1.0,2.0732050359795196e-07,70.76468873023987,1.0,0.0,0,1,0,0,1
2.0,12.0,52.0,14.0,29.0,1.0,2.0,1.0,2.0732050359795196e-07,71.05826020240784,1.0,0.0,0,1,0,0,1
