RoadType,RoadID,ScenarioLength,VehicleFront,VehicleAdjacent,VehicleOpposite,VehicleFrontTwoWheeled,VehicleAdjacentTwoWheeled,VehicleOppositeTwoWheeled,TimeOfDay,Weather,NumberOfPeople,TargetSpeed,Trees,Buildings,Task,F0_0,F1_0,F2_0,F3_0,Y0,Y1,Y2,Y3,Y
0,2,0,1,0,0,1,1,0,2,2,0,4,1,1,0,0.905391304347826,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,0,0,1,1,1,2,0,1,3,1,1,0,0.9604347826086956,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,0,1,0,0,1,1,1,0,3,1,1,0,0.9618260869565216,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,0,1,0,0,1,1,1,1,2,1,1,0,0.9654782608695652,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,0,1,0,1,0,2,0,0,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,0,1,0,1,0,2,4,0,3,1,1,0,0.9618260869565216,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,0,1,0,1,1,1,1,0,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,0,1,0,1,1,2,2,0,3,1,1,0,0.9618260869565216,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,0,1,1,0,0,0,1,1,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,0,1,1,0,1,2,2,1,2,1,1,0,0.9595652173913044,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,0,1,1,1,0,1,4,1,3,1,1,0,0.9618260869565216,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,0,0,0,0,2,4,0,2,1,1,0,0.9650434782608696,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,0,0,0,1,1,1,1,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,0,0,0,1,1,2,0,4,1,1,0,0.9309565217391303,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,0,0,1,0,0,5,1,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,0,0,1,1,2,5,0,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,0,1,0,1,0,3,0,3,1,1,0,0.9618260869565216,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,0,1,1,1,0,4,0,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,0,1,1,1,0,5,0,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,0,1,1,1,2,0,0,3,1,1,0,0.9618260869565216,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,0,1,1,1,2,3,0,3,1,1,0,0.9616521739130436,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,0,1,1,1,2,6,1,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,1,0,0,0,2,2,1,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,1,0,0,1,1,6,0,2,1,1,0,0.9659130434782608,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,1,0,1,0,1,2,1,2,1,1,0,0.9625217391304348,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,1,0,1,1,1,0,0,2,1,1,0,0.958782608695652,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,1,4,0,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,1,1,0,0,2,0,1,2,1,1,0,0.9581739130434782,1.0,1.0,1.0,0,0,0,1,1
0,2,0,1,1,1,1,0,0,2,4,0,2,1,1,0,0.9502608695652174,1.0,1.0,1.0,0,0,0,0,0
0,2,0,1,1,1,1,0,1,0,4,1,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,0,0,0,0,0
